diff: 0.025,ignore: <eos>,text: test
false,EOS,1
service,the,1
history,",",1
well,of,1
greece,.,1
courts,the,1
archelaus,EOS,1
spirit,and,1
roused,",",1
prostitution,.,1
muse,of,1
makes,and,1
excite,the,1
thought,",",1
enlist,the,1
resignation,",",1
suggest,of,1
eternity,the,1
age,.,1
present,.,1
more,EOS,1
variations,",",1
unabated,.,1
external,of,1
deify,the,1
fallen,",",1
banish,of,1
wholly,EOS,1
external,",",1
even,.,1
mahometan,of,1
pictures,and,1
temple,",",1
does,of,1
faust,",",1
adversaries,of,1
teach,EOS,1
begging,of,1
rhapsodist,the,1
rep.,EOS,1
paradoxes,EOS,1
statesman,of,1
ever,.,1
put,",",1
death,the,1
head,.,1
pupils,the,1
lose,",",1
timaeus,and,1
has,of,1
voluntariness,.,1
actions,.,1
ground,the,1
physical,the,1
tale,",",1
avesta,the,1
together,EOS,1
angles,of,1
explained,the,1
cylinder,and,1
symbol,EOS,1
outermost,.,1
rim,the,1
intervals,the,1
stars,the,1
heavens,the,2
way,EOS,1
imaginary,and,1
given,",",1
representation,.,1
circles,and,1
orbits,of,1
without,.,1
although,the,1
direction,the,1
moving,",",2
former,the,1
round,.,1
planets,.,1
lachesis,the,1
atropos,",",1
obviously,",",1
names,the,1
lot,",",1
--,EOS,1
might,",",1
life,",",1
chose,the,1
wisdom,and,1
freedom,",",1
choose,EOS,1
prior,the,1
affect,",",1
him,the,1
pol.,",",1
men,the,1
enough,",",1
<eos>,the,1
